파일명,포맷,모드,사이즈,너비,높이
img1.jpg,JPEG,RGB,"(377, 400)",377,400
img10.jpg,JPEG,RGB,"(599, 400)",599,400
img11.jpg,JPEG,RGB,"(411, 400)",411,400
img12.jpg,JPEG,RGB,"(356, 400)",356,400
img13.jpg,JPEG,RGB,"(623, 400)",623,400
img14.jpg,JPEG,RGB,"(533, 400)",533,400
img15.jpg,JPEG,RGB,"(511, 400)",511,400
img16.jpg,JPEG,RGB,"(333, 400)",333,400
img17.jpg,JPEG,RGB,"(533, 400)",533,400
img18.jpg,JPEG,RGB,"(603, 400)",603,400
img19.jpg,JPEG,RGB,"(600, 400)",600,400
img2.jpg,JPEG,RGB,"(433, 400)",433,400
img20.jpg,JPEG,RGB,"(534, 400)",534,400
img21.jpg,JPEG,RGB,"(519, 400)",519,400
img22.jpg,JPEG,RGB,"(300, 400)",300,400
img23.jpg,JPEG,RGB,"(534, 400)",534,400
img24.jpg,JPEG,RGB,"(522, 400)",522,400
img25.jpg,JPEG,RGB,"(534, 400)",534,400
img26.jpg,JPEG,RGB,"(500, 400)",500,400
img27.jpg,JPEG,RGB,"(640, 400)",640,400
img28.jpg,JPEG,RGB,"(533, 400)",533,400
img29.jpg,JPEG,RGB,"(641, 400)",641,400
img3.jpg,JPEG,RGB,"(564, 400)",564,400
img30.jpg,JPEG,RGB,"(300, 400)",300,400
img4.jpg,JPEG,RGB,"(533, 400)",533,400
img5.jpg,JPEG,RGB,"(537, 400)",537,400
img6.jpg,JPEG,RGB,"(533, 400)",533,400
img7.jpg,JPEG,RGB,"(510, 400)",510,400
img8.jpg,JPEG,RGB,"(554, 400)",554,400
img9.jpg,JPEG,RGB,"(533, 400)",533,400
pic1.jpg,PNG,RGB,"(512, 271)",512,271
pic2.jpg,JPEG,RGB,"(630, 338)",630,338
pic3.jpg,JPEG,RGB,"(275, 183)",275,183
