순위,노래,가수,앨범
1,Dynamite,방탄소년단,Dynamite (DayTime Version)
2,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
3,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이(Mirani),쇼미더머니 9 Episode 1
4,잠이 오질 않네요,장범준,잠이 오질 않네요
5,Lovesick Girls,BLACKPINK,THE ALBUM
6,Life Goes On,방탄소년단,BE
7,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
8,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이(lIlBOI),쇼미더머니 9 Episode 3
9,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
11,에잇(Prod.&Feat. SUGA of BTS),아이유(IU),에잇
12,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
13,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이(lIlBOI),쇼미더머니 9 Final
14,I CAN'T STOP ME,TWICE(트와이스),Eyes wide open
15,나로 바꾸자 (duet with JYP),비,나로 바꾸자 (duet with JYP)
16,Love poem,아이유(IU),Love poem
17,딩가딩가 (Dingga),마마무(Mamamoo),딩가딩가 (Dingga)
18,Dolphin,오마이걸(OH MY GIRL),NONSTOP
19,Panorama,IZ*ONE(아이즈원),One-reeler / Act IV
20,화(火花),(여자) 아이들,I burn
21,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix]
22,DON'T TOUCH ME,환불원정대,DON'T TOUCH ME
23,요즘,양다일,요즘
24,잘할게,이승기,The Project
25,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이(Mirani),쇼미더머니 9 Episode 3
26,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
27,What Do I Call You,태연 (TAEYEON),What Do I Call You - The 4th Mini Album
28,When We Disco (Duet with 선미),박진영,When We Disco
29,Freak (Prod. Slom),릴보이(lIlBOI),쇼미더머니 9 Episode 1
