순위,노래,가수,앨범
1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1
2,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
3,Dynamite,방탄소년단,Dynamite (DayTime Version)
4,잠이 오질 않네요,장범준,잠이 오질 않네요
5,Lovesick Girls,BLACKPINK,THE ALBUM
6,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
7,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
8,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3
9,Life Goes On,방탄소년단,BE
10,오래된 노래,스탠딩 에그,오래된 노래
11,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, 방탄소년단",Savage Love (Laxed - Siren Beat) [BTS Remix]
12,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI),쇼미더머니 9 Final
13,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
14,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
15,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇
16,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
17,혼술하고 싶은 밤,벤,혼술하고 싶은 밤
18,화(火花),(여자)아이들,I burn
19,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (Mirani),쇼미더머니 9 Episode 3
20,When We Disco (Duet with 선미),박진영,When We Disco
21,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
22,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
23,Blueming,아이유,Love poem
24,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
25,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),어떻게 지내
26,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI),쇼미더머니 9 Final
27,Freak (Prod. Slom),"릴보이 (lIlBOI), 원슈타인, Chillin Homie, 스카이민혁 (Skyminhyuk)",쇼미더머니 9 Episode 1
28,How You Like That,BLACKPINK,How You Like That
29,METEOR,창모 (CHANGMO),Boyhood
30,아로하,조정석,슬기로운 의사생활 OST Part 3
31,옜다 (Take It) (Prod. GroovyRoom),"머쉬베놈 (MUSHVENOM), 저스디스 (JUSTHIS)",굴젓 (G+Jus)
32,서면역에서,순순희,서면역에서
33,딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga)
34,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
35,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda,쇼미더머니 9 Episode 3
36,사실 나는 (Feat.전건호),경서예지,사실 나는
37,마음을 드려요,아이유,사랑의 불시착 OST Part 11
38,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
39,DON'T TOUCH ME,환불원정대,DON'T TOUCH ME
40,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
41,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
42,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어
43,VVS (H1GHR Remix) (Feat. JUSTHIS) (Prod. GroovyRoom),"pH-1, BIG Naughty (서동현), TRADE L, Woodie Gochild, 박재범, 키드킹 (Kidd King)",굴젓 (G+Jus)
44,I CAN’T STOP ME,TWICE (트와이스),Eyes wide open
45,Memories,Maroon 5,Memories
46,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),스윙스,쇼미더머니 9 Semi Final
47,마리아 (Maria),화사 (Hwa Sa),María
48,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해
49,"Achoo Remix (Feat. 미란이(Mirani), pH-1, 먼치맨, Skinny Brown, Louie, 릴러말즈 (Leellamarz), Ourealgoat (아우릴고트), Dbo (디보), 식케이 (Sik-K), 오왼 (Owen), Kid Milli, 스윙스, Nudeboi Seo, TRADE L, 쿠기 (Coogie), Blase (블라세), sokodomo, Khundi Panda, 휘민 (Lil Moshpit), Khakii (카키))","그루비룸 (GroovyRoom), 저스디스 (JUSTHIS)",굴젓 (G+Jus)
50,시작,가호 (Gaho),이태원 클라쓰 OST Part.2
51,2002,Anne-Marie,Speak Your Mind (Deluxe)
52,사랑은 지날수록 더욱 선명하게 남아,전상근,한 걸음 : 흔적
53,뻔한남자,이승기,뻔한남자
54,봄날,방탄소년단,YOU NEVER WALK ALONE
55,홀로,이하이,홀로
56,한잔이면 지워질까,황인욱,한잔이면 지워질까
57,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP
58,눈누난나 (NUNU NANA),제시 (Jessi),NUNA
59,Dance Monkey,Tones And I,The Kids Are Coming
60,가을밤에 든 생각,잔나비,잔나비 소곡집 l
61,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM),쇼미더머니 9 Semi Final
62,Downtown Baby,블루 (BLOO),Downtown Baby
63,Snowman,Sia,Everyday Is Christmas (Deluxe)
64,안녕,폴킴,호텔 델루나 OST Part.10
65,"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),"사랑 못해, 남들 쉽게 다 하는 거"
66,너를 만나,폴킴,너를 만나
67,Panorama,IZ*ONE (아이즈원),One-reeler / Act IV
68,소확행,임창정,힘든 건 사랑이 아니다
69,What Do I Call You,태연 (TAEYEON),What Do I Call You - The 4th Mini Album
70,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고
71,Love poem,아이유,Love poem
72,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA
73,나로 바꾸자 (duet with JYP),비,나로 바꾸자 (duet with JYP)
74,잘할게,이승기,The Project
75,우린 어쩌다 헤어진 걸까,허각,Hello
76,행복해,송하예,Happy
77,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
78,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11
