순위,노래,가수,앨범
1,화(火花),(여자)아이들,I burn
2,MOON,(여자)아이들,I burn
3,옜다 (Take It) (Prod. GroovyRoom),머쉬베놈(MUSHVENOM),굴젓 (G+Jus)
4,우린 어쩌다 헤어진 걸까,허각,Hello
5,Your Lights,이수 (엠씨더맥스),Your Lights (바이크 원정대 OST Part.1)
6,한(寒),(여자)아이들,I burn
7,LOST,(여자)아이들,I burn
8,첫사랑 (feat.SOLE(쏠)),정준일,첫사랑 (feat.SOLE(쏠))
9,Dynamite,방탄소년단,Dynamite (DayTime Version)
10,DAHLIA,(여자)아이들,I burn
11,나로 바꾸자 (duet with JYP),비,나로 바꾸자 (duet with JYP)
12,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
13,For You (Feat. Crush),이하이,For You
14,What Do I Call You,태연 (TAEYEON),What Do I Call You - The 4th Mini Album
15,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이,쇼미더머니 9 Episode 1
16,Where is love,(여자)아이들,I burn
17,Lovesick Girls,BLACKPINK,THE ALBUM
18,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix]
19,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이(lIlBOI),쇼미더머니 9 Final
20,Life Goes On,방탄소년단,BE
21,Panorama,IZ*ONE(아이즈원),One-reeler / Act IV
22,입김,10CM,5.1
23,겨울잠,장덕철,겨울잠
24,When We Disco (Duet with 선미),박진영,When We Disco
25,잠이 오질 않네요,장범준,잠이 오질 않네요
26,34+35,Ariana Grande(아리아나 그란데),Positions
27,Black Mamba,aespa,Black Mamba
28,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이(lIlBOI),쇼미더머니 9 Episode 3
29,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
30,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
31,잘할게,이승기,The Project
32,사라진 모든 것들에게(with ELLE KOREA),코드 쿤스트,RECONNECT
33,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),스윙스(Swings),쇼미더머니 9 Semi Final
34,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
35,사랑은 (Feat.원슈타인),마미손,나의슬픔(My Sadness)
36,parachute,John K,love + everything else
37,우리의 밤은 당신의 낮보다 아름답다,"너도 나도 너드(싱어게인 17호 가수, 싱어게인 26호 가수)",싱어게인 - 무명가수전 Episode.7
38,Blueming,아이유(IU),Love poem
39,마음을 드려요,아이유(IU),사랑의 불시착 OST Part 11
40,에잇(Prod.&Feat. SUGA of BTS),아이유(IU),에잇
41,딩가딩가 (Dingga),마마무(Mamamoo),딩가딩가 (Dingga)
42,휘파람,싱어게인 63호 가수,싱어게인 - 무명가수전 Episode.6
43,변덕쟁이,백아연,故김현식 30주기 헌정앨범 “추억 만들기” Part 5
44,I CAN’T STOP ME,TWICE (트와이스),Eyes wide open
45,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
46,오래된 노래,스탠딩 에그(Standing Egg),오래된 노래
47,가을밤에 든 생각,잔나비,잔나비 소곡집 l
48,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",머쉬베놈(MUSHVENOM),쇼미더머니 9 Final
49,VVS (H1GHR Remix) (Feat. JUSTHIS) (Prod. GroovyRoom),pH-1,굴젓 (G+Jus)
50,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
51,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이(lIlBOI),쇼미더머니 9 Final
52,서로를 위한 것,나얼(Na-Ul),서로를 위한 것
53,Lovegame,백예린 (Yerin Baek),tellusboutyourself
54,Dolphin,오마이걸(OH MY GIRL),NONSTOP
55,너도 아는,폴킴(Paul Kim),너도 아는
56,불면증 (Vocal by 윤하),에피톤 프로젝트(Epitone Project),불면증 (Vocal by 윤하)
57,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
58,"Achoo Remix (Feat. 미란이(Mirani), pH-1, 먼치맨, Skinny Brown, Louie, 릴러말즈 (Leellamarz), Ourealgoat (아우릴고트), Dbo (디보), 식케이 (Sik-K), 오왼 (Owen), Kid Milli, 스윙스, Nudeboi Seo, TRADE L, 쿠기 (Coogie), Blase (블라세), sokodomo, Khundi Panda, 휘민 (Lil Moshpit), Khakii (카키))",그루비룸 (GroovyRoom),굴젓 (G+Jus)
59,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
60,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
61,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
62,Snowman,Sia(시아),Everyday Is Christmas [Deluxe]
63,Square (2017),백예린 (Yerin Baek),Every letter I sent you.
64,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이,쇼미더머니 9 Episode 3
65,How You Like That,BLACKPINK,How You Like That
66,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)",머쉬베놈(MUSHVENOM),쇼미더머니 9 Final
67,METEOR,창모(CHANGMO),Boyhood
68,혼술하고 싶은 밤,벤,혼술하고 싶은 밤
69,아로하,조정석,슬기로운 의사생활 OST Part 3
70,MAGO,여자친구(GFRIEND),回:Walpurgis Night
71,밤편지,아이유(IU),밤편지
72,Hate you,백예린 (Yerin Baek),tellusboutyourself
73,Freak (Prod. Slom),릴보이(lIlBOI),쇼미더머니 9 Episode 1
74,주저하는 연인들을 위해,잔나비,전설
