제목,평점,리뷰 수,저자,출판사,가격
Do it! 점프 투 파이썬,10.0,49,박응용,이지스퍼블리싱,18800
모두의 파이썬,10.0,28,이승찬,길벗,12000
이것이 취업을 위한 코딩 테스트다 with 파이썬,9.6,26,나동빈,한빛미디어,34000
혼자 공부하는 파이썬,9.0,26,윤인성,한빛미디어,18000
Do it! 첫 파이썬,9.33,25,엘리스 코딩,이지스퍼블리싱,14000
파이썬 입문,0.0,16,황재호,인포앤북,25000
게임으로 배우는 파이썬,9.5,15,다나카 겐이치로,영진닷컴,17000
모두의 데이터 분석 with 파이썬,0.0,14,송석리,길벗,18000
파이썬 웹프로그래밍 실전편,10.0,13,김석훈,한빛미디어,32000
시간순삭 파이썬(시간순삭 시리즈),10.0,13,천인국,생능출판,22000
파이썬 머신러닝 판다스 데이터 분석,9.33,12,오승환,정보문화사,25000
파이썬 웹 프로그래밍,8.0,12,김석훈,한빛미디어,22000
혼자 공부하는 첫 프로그래밍 with 파이썬,0.0,12,문현일,한빛미디어,17000
Do it! 파이썬 생활 프로그래밍,0.0,11,김창현,이지스퍼블리싱,20000
파이썬 딥러닝 파이토치(Python Deep Learning PyTorch),0.0,10,이경택,정보문화사,25000
파이썬 딥러닝 머신러닝 입문,0.0,9,오승환,정보문화사,25000
실무자를 위한 파이썬 100제,10.0,8,오승환,정보문화사,20000
파이썬 증권 데이터 분석,0.0,8,김황후,한빛미디어,32000
Hello Coding 한입에 쏙 파이썬,0.0,7,김왼손,한빛미디어,15000
으뜸 파이썬,0.0,7,박동규,생능출판,32000
이것이 데이터 분석이다 with 파이썬,10.0,6,윤기태,한빛미디어,28000
파이썬 알고리즘 인터뷰,9.0,6,박상길,책만,38000
프로그래밍의 정석: 파이썬,0.0,6,도경구,생능출판,28000
파이썬 코딩 도장,10.0,5,남재윤,길벗,25000
딥러닝 머신러닝을 위한 파이썬 넘파이,9.5,5,문용준,잇플ITPLE,35000
모두의 파이썬,0.0,5,이승찬,길벗,12000
파이썬으로 데이터 주무르기,0.0,5,민형기,비제이퍼블릭,27500
파이썬으로 배우는 알고리즘 트레이딩,10.0,4,조대표,위키북스,40000
파이썬 날코딩으로 알고 짜는 딥러닝,10.0,4,윤덕호,한빛미디어,45000
파이썬,10.0,4,김명호,에듀웨이,18000
파이썬 자료구조와 알고리즘,9.5,4,미아 스타인,한빛미디어,19800
파이썬으로 웹 크롤러 만들기,0.0,4,라이언 미첼,한빛미디어,22500
처음 시작하는 파이썬,10.0,3,빌 루바노빅 지음,한빛미디어,36000
파이썬으로 챗봇 만들기,10.0,3,Sumit Raj,영진닷컴,20000
Effective Python 2nd 이펙티브 파이썬 : 파이썬 코딩의 기술,0.0,3,브렛 슬라킨 지음,길벗,32000
