호선명,역명,4시승차,4시하차,5시승차,5시하차,6시승차,6시하차,7시승차,7시하차,8시승차,8시하차,9시승차,9시하차,10시승차,10시하차,11시승차,11시하차,12시승차,12시하차,13시승차,13시하차,14시승차,14시하차,15시승차,15시하차,16시승차,16시하차,17시승차,17시하차,18시승차,18시하차,19시승차,19시하차,20시승차,20시하차,21시승차,21시하차,22시승차,22시하차,23시승차,23시하차,0시승차,0시하차,1시승차,1시하차,2시승차,2시하차,3시승차,3시하차
1호선,서울역,1068,33,11965,9773,14890,53461,42023,112943,85932,249077,61796,174254,68000,90983,87864,81213,95188,86551,98758,89022,81322,81503,111118,83800,117504,88843,165222,97364,261329,106709,136868,75368,93921,56236,93168,47940,69928,36163,34257,18781,3430,6955,2,381,0,0,0,0
1호선,시청,67,2,2500,4357,3978,22598,8207,75860,10880,219940,13809,92525,17492,49086,23977,44452,26003,41210,31832,45989,38209,37319,47050,32327,55577,27922,82056,28471,175705,30601,71728,16058,58351,9323,58553,8668,38423,6762,14101,4291,874,1179,0,15,0,0,0,0
1호선,종각,80,0,4301,5761,4583,37826,7027,113270,12345,314987,16175,179827,22205,80937,35469,71922,43998,67383,61893,69522,67489,57588,79684,51426,91824,52202,144502,60123,264781,78563,126032,47687,108553,18918,126020,12234,104045,8206,46757,5527,3953,1389,1,10,0,0,0,0
1호선,종로3가,163,10,5186,3240,4701,16744,6333,34694,11562,93493,16220,109380,29223,92038,46215,88675,58967,89851,74279,93694,74056,79463,84533,63642,97358,54917,100336,52203,128867,60014,90555,36088,68245,14611,76579,11203,62000,8480,26688,5939,3016,2735,3,43,0,0,0,0
1호선,종로5가,69,4,2274,3743,3321,18403,6044,45220,9556,126964,14934,78665,24900,64501,35396,67996,46860,64309,58381,59040,64536,54608,67629,46852,70781,42931,85565,39581,124006,39442,66972,24373,44744,11517,37759,8051,28732,5764,9833,3616,731,1071,1,4,0,0,0,0
1호선,동대문,868,10,17306,2439,11374,8428,17909,16093,25407,30654,23853,31024,20920,32943,24189,36725,28521,36565,31041,34843,31382,33455,31167,30992,31140,28351,33212,29346,32950,30865,23039,31530,18820,23065,17205,18513,15026,17286,8579,13572,1184,4726,0,41,0,0,0,0
1호선,신설동,396,16,10722,2383,10537,9630,22366,29701,32133,82619,23147,44718,21534,25588,23779,23259,25930,22457,27127,23484,25714,21905,29538,22574,32774,23193,44462,28790,74368,33647,30644,26612,21023,17061,20208,16528,13662,16941,5829,12250,613,3110,0,26,0,0,0,0
1호선,제기동,352,1,5329,2493,9920,10416,25235,22371,37358,50093,27066,48419,29688,44774,36249,51334,41224,57442,46401,60762,49086,51904,57478,46138,60006,38213,55795,33893,54656,32726,29927,24268,19617,14159,13854,12475,9193,11654,4237,8138,434,1931,0,0,0,0,0,0
1호선,청량리(서울시립대입구),1377,8,12916,3712,19127,13015,50342,20237,66154,43521,42335,39248,36688,40911,41862,49718,46843,53967,48093,59075,49090,57723,54954,54695,59821,50367,58874,54568,55998,65574,35137,51643,28105,29548,21176,28036,14078,28042,6490,18439,486,5967,1,0,0,0,0,0
1호선,동묘앞,184,1,3613,827,3771,4431,7112,12479,10490,28652,9933,19169,11497,19840,16680,26195,22246,28754,27506,32162,30421,30587,30463,27670,32381,22700,31923,18816,30676,13534,16399,9469,8856,6389,7766,6420,4709,6612,2157,4767,255,3066,3,248,0,0,0,0
2호선,시청,63,1,1404,1694,2481,16580,6257,74188,10125,260492,14022,95682,21345,35619,28978,33227,29559,30833,35667,36664,41611,32698,46054,29517,52179,26073,93254,26596,214895,28823,72362,16093,51889,9434,48106,9315,32763,8984,13160,5486,1823,1815,1,118,1,1,0,0
2호선,을지로입구,121,4,3224,3081,3788,30414,9693,135643,17757,383497,23721,174703,32755,97610,44744,103138,51010,78097,66129,81416,75906,70544,90669,68134,104556,67570,158558,70224,336681,81009,159243,49570,145773,29173,126382,24125,88028,19678,41004,11815,4854,3993,2,1059,0,0,0,0
2호선,을지로3가,25,1,1138,2121,2646,21715,6167,72727,12112,179279,15287,88752,19649,42073,25188,33416,26288,29359,30630,33457,34224,29347,39333,27051,46079,29561,80485,34651,154913,43357,70077,27490,48828,15253,51522,12094,43347,10678,24693,6861,4118,1791,1,85,0,0,0,0
2호선,을지로4가,6,2,909,1237,1707,12167,3934,30361,7190,74896,11138,43067,14231,26448,16301,26485,19377,24190,21336,22823,24493,21333,27161,19449,30080,18136,49996,17324,71881,16154,38786,10796,19615,6910,14934,6279,10594,5997,5267,4242,1057,1273,0,41,1,0,0,0
2호선,동대문역사문화공원,388,0,11351,1187,6398,9437,8461,26452,15885,68063,16064,45641,18864,38425,22152,38559,29091,38984,29418,44264,34137,41344,41167,38076,46825,35478,56836,37705,67852,44742,44344,50883,34512,36413,33039,29060,31323,22475,20734,14133,3465,4971,1,127,0,0,0,0
2호선,신당,35,1,7589,1459,12828,9061,31694,19271,51106,44466,31174,28279,21566,21017,21384,20908,24152,21848,24904,22724,24197,23913,25332,25881,28557,27690,33279,35557,42746,49091,27130,37272,19708,24186,17712,22541,12645,22517,6571,14149,1164,5073,1,33,0,0,0,0
2호선,상왕십리,32,6,6902,917,14563,6448,44181,12795,71969,42572,36893,23063,23147,15247,22471,14434,22668,15249,22679,18751,19896,18215,20599,20107,21890,23982,27279,31959,35629,53461,22147,40486,14812,25723,13824,25621,10251,25708,4200,16563,754,6042,2,20,0,0,0,0
2호선,왕십리(성동구청),878,8,8531,1138,12411,7262,33272,14386,61026,33484,37985,23951,25654,17945,25056,19153,28519,21451,30041,24427,28714,23721,30906,25403,37027,29626,43103,39132,50588,68175,31627,48492,29890,28983,33218,26060,33254,26741,20068,17907,3612,7481,2,49,0,0,0,0
2호선,한양대,10,0,1367,390,2858,6812,6689,14280,10575,53240,8751,45642,7623,21788,9878,15087,14993,20805,14869,18045,13900,13931,19065,12300,26906,11387,38453,11697,35357,14852,18975,10184,12508,6754,12647,6932,10566,6910,6091,4778,1349,1840,4,9,0,1,0,0
