Reviews,pos_neg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어이가없어서말도안나오네요 받지도않은음식을결제하라는게말이되는건가요? 출근도해야하는데 이늦은시간에전화오는것도이해를못하겠네요 덕분에자다가깼네요ㅡㅡ 이제이어플안씁니다ㅡㅡ 이따위로하는거아니라고봅니다ㅡㅡ 와타부타말도없이결제라니..어이가없네요..ㅡㅡ,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
제 동생 추천으로 주문해본건데 동생말이 틀리지 않았어요. 브랜드 친키보다 제 입맛엔 딱이더라구요. 양도 푸짐하고 무엇보다 닭다리3 닭날개3씩 와서 너무 좋았어요~~~^-^기분좋은 맛집이네요~~~ 사장님 번창하시구요. 감사합니다 앞으로 계속 당골할게요~~~,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
뭐만하면 배달팁 추가...비많이 와서 그러는건 고생하시니 그러려니하는데 배달이 몰려도 배달팁추가ㅋㅋㅋㅋㅋ 그렇다구 배달서비스가 좋은가?? 깨지고 터지고..짜증나서 쓰기시름,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
지금사용중인데 배달주문해서 돈은빠져나갔는데 배달주문한곳에전화해서 확인해보니 주문들어온게없다고하네요 그런데 상담원 연결도 안되고 전화를하면 전화그냥끊기고 너무황당하네요 돈은나갔는데 음식주문은안되있고 이글을보시면 생각이라는걸해보셨으면합니다. 주문을한사람으로써 생돈만나간상황이너무어의가없네요,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
"써본지는 얼마 안되지만 몇번 배달시켜 먹어본 결과, 편리하고 좋아요^^ 맛있는 맛집 많이 늘려주시고, 앞으로도 맛있는게 땡길때 자주 애용할께요~~																																																																																																																																																														",긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주문했는데 예상시간보다 훨씬 빨리 도착해서 맛있게 먹었어요. 주소지랑 전화번호는 제대로 썼는데 다른데로 갈뻔했다네요. 제대로 주문해서 확인해보고 잘 받았어요. 비회원 주문을 해서 여기로 리뷰 남겨요~,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
"언제 먹어도 맛있는족발 ,콜라겐 덩어리 ..맛있게 먹고.젊어지고..아미족발 굿 .. 넘 맛있어요.한번 먹으면 계속 생각나고.사람들한테 알리고 싶은 맛입니다.담에 또 시켜 먹을께요..써비스 이빠이~																																																																																																																																																														",긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
편리해서 좋은데 업체에서 평가 5점약속시 서비스준다는 이벤트로 인해 후기만 믿고 주문하다보니 배달해도 맛있는곳 반 맛없는곳 반입니다~정확한 평가가 이뤄줬음 좋겠네요~그리고 한달 자주이용하는 회원들에게 혜택이 크지않아요~vip인데 신규회원보다 혜택이 더적네요 신규회원 만원할인보고 놀람요 기존회원신경써줬음해요~다른곳으로 눈돌리려고합니다,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
이벤트있을때 사이트 접속오류도 가끔 있어 분통터지지만 할인이벤트 많아서 좋고 오류나면 보상쿠폰이나 적립금도 줘서 그것도 괜찮은것같아서 만족합니다.,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
