기관명,CCTV합계,2014년 이전,2015년,2016년,2017년,2018년
강 남 구,5221.0,2885.0,546.0,765.0,577.0,448.0
강 동 구,1879.0,883.0,144.0,194.0,273.0,385.0
강 북 구,1265.0,546.0,145.0,254.0,1.0,319.0
강 서 구,1617.0,722.0,187.0,190.0,264.0,254.0
관 악 구,3985.0,1392.0,609.0,619.0,694.0,671.0
광 진 구,1581.0,682.0,64.0,21.0,468.0,346.0
구 로 구,3227.0,1607.0,268.0,326.0,540.0,486.0
금 천 구,1634.0,387.0,382.0,136.0,199.0,530.0
노 원 구,1906.0,881.0,461.0,298.0,110.0,156.0
도 봉 구,858.0,456.0,59.0,155.0,117.0,71.0
동대문구,2003.0,1326.0,111.0,233.0,136.0,197.0
동 작 구,1780.0,863.0,130.0,254.0,278.0,255.0
마 포 구,1935.0,832.0,177.0,359.0,372.0,195.0
서대문구,2121.0,1126.0,109.0,277.0,415.0,194.0
서 초 구,2835.0,1625.0,215.0,352.0,247.0,396.0
성 동 구,2679.0,993.0,258.0,201.0,933.0,294.0
성 북 구,3003.0,1408.0,279.0,388.0,285.0,643.0
송 파 구,1586.0,808.0,166.0,100.0,116.0,396.0
양 천 구,2775.0,1287.0,172.0,349.0,137.0,830.0
영등포구,2495.0,676.0,366.0,289.0,371.0,793.0
용 산 구,2063.0,1739.0,102.0,89.0,60.0,73.0
은 평 구,2962.0,1890.0,180.0,296.0,229.0,367.0
종 로 구,1471.0,746.0,195.0,148.0,281.0,101.0
중     구,1544.0,384.0,245.0,270.0,317.0,328.0
중 랑 구,1068.0,770.0,102.0,121.0,66.0,9.0
