,기관명,총인구,한국인,외국인,고령자
2,합계,10575447,10312545,262902,1007572
3,종로구,179362,170578,8784,22458
4,중구,141200,132822,8378,17504
5,용산구,257143,244853,12290,30996
6,성동구,316892,309093,7799,32094
7,광진구,388775,375463,13312,32241
8,동대문구,379343,366786,12557,42669
9,중랑구,432302,427455,4847,41887
10,성북구,497692,488932,8760,53243
11,강북구,350007,346520,3487,41702
12,도봉구,370734,368298,2436,38214
13,노원구,615425,611230,4195,57049
14,은평구,492925,488109,4816,53779
15,서대문구,333871,324541,9330,39497
16,마포구,400464,391865,8599,41457
17,양천구,505223,500001,5222,39067
18,강서구,580506,574127,6379,50349
19,구로구,452667,423736,28931,39389
20,금천구,264544,245195,19349,23995
21,영등포구,445648,406833,38815,42764
22,동작구,413814,402709,11105,42539
23,관악구,549736,531434,18302,50663
24,서초구,440021,434720,5301,37131
25,강남구,577070,570095,6975,44229
26,송파구,693144,685279,7865,53156
27,강동구,496939,491871,5068,39500
28,합계,10528774,10249679,279095,1049425
29,종로구,177419,168382,9037,22939
30,중구,141567,133193,8374,18099
31,용산구,259288,246501,12787,31837
32,성동구,308767,300711,8056,32767
33,광진구,386673,371936,14737,33613
34,동대문구,378534,365486,13048,44368
35,중랑구,428672,423706,4966,43745
36,성북구,494422,485171,9251,55213
37,강북구,348740,345054,3686,43507
38,도봉구,367949,365573,2376,39810
39,노원구,608062,603930,4132,58642
40,은평구,498350,493634,4716,56595
41,서대문구,324529,314852,9677,40041
42,마포구,398627,389493,9134,42610
43,양천구,505605,500210,5395,41110
44,강서구,575846,569072,6774,52314
45,구로구,458908,427468,31440,41992
46,금천구,264256,243438,20818,25089
47,영등포구,439555,397443,42112,43891
48,동작구,413658,401408,12250,44287
49,관악구,546350,526397,19953,53022
50,서초구,439012,433564,5448,39035
51,강남구,573003,565710,7293,47187
52,송파구,690466,682209,8257,55456
53,강동구,500516,495138,5378,42256
54,합계,10442426,10195318,247108,1110995
55,종로구,173148,165207,7941,23868
56,중구,140807,133360,7447,18875
57,용산구,255294,243232,12062,33027
58,성동구,306868,299604,7264,34180
59,광진구,384269,371313,12956,35759
60,동대문구,375683,363258,12425,46795
61,중랑구,423655,419295,4360,46476
