,단어,빈도수
0,국민,32
1,경제,26
2,코로나,16
3,국가,16
4,협력,14
5,세계,12
6,지난해,12
7,안전,11
8,위기,11
9,고용,11
10,뉴딜,11
11,회복,10
12,정부,10
13,상생,9
14,지역,9
15,일상,8
16,노력,8
17,더욱,8
18,여러분,7
19,모두,7
20,대한민국,7
21,방역,7
22,올해,7
23,시대,7
24,지원,7
25,추진,7
26,민생,6
27,도약,6
28,선도,6
29,비롯,6
30,일자리,6
31,제도,6
32,혁신,6
33,산업,6
34,남북,6
35,평화,6
36,어려움,5
37,물품,5
38,전망,5
39,미래,5
40,격차,5
41,보건,5
42,투자,5
43,한국판,5
44,사회,5
45,탄소,5
46,문화,5
47,대화,5
48,새해,4
49,계속,4
50,성장,4
51,마스크,4
52,확산,4
53,극복,4
54,가장,4
55,기업,4
56,규모,4
57,전환,4
58,수출,4
59,핵심,4
60,소득,4
61,문제,4
62,디지털,4
63,속도,4
64,의지,4
65,국제사회,4
66,역할,4
67,한반도,4
68,희망,3
69,마음,3
70,전쟁,3
71,생명,3
72,인류,3
73,의료,3
74,이웃,3
75,적용,3
76,한국,3
77,사람,3
78,전국,3
79,운동,3
80,시작,3
81,노동자,3
82,기록,3
83,이제,3
84,계획,3
85,무엇,3
86,백신,3
87,효과,3
88,계층,3
89,역량,3
90,확대,3
91,의무,3
92,서로,3
93,적극,3
94,마련,3
95,증가,3
96,통해,3
97,균형,3
98,발전,3
99,균형발전,3
100,공정,3
101,개혁,3
102,민주주의,3
103,필수,3
104,보호,3
105,중립,3
106,예술,3
107,콘텐츠,3
108,스포츠,3
109,체육,3
110,존경,2
111,위협,2
112,시기,2
113,신종,2
114,감염병,2
115,이후,2
116,역시,2
117,불편,2
118,헌신,2
119,주체,2
120,창의,2
121,현장,2
122,검사,2
123,각국,2
124,크게,2
125,기여,2
126,최대한,2
127,누구,2
128,정신,2
129,유지,2
130,최고,2
131,진입,2
132,사상,2
133,예측,2
134,주가,2
135,최선,2
136,소상,2
137,공인,2
138,자영,2
139,업자,2
140,마지막,2
141,우선,2
142,접종,2
143,개발,2
144,진행,2
145,과정,2
146,자체,2
147,기준,2
148,역대,2
149,상반기,2
150,이전,2
151,수준,2
152,명의,2
153,특수,2
154,종사,2
155,취약,2
156,확장,2
157,예산,2
158,민간,2
159,프로젝트,2
160,청년,2
161,어르신,2
162,예정,2
163,회안,2
164,취업,2
165,서비스,2
166,예술인,2
167,보험,2
168,부양,2
169,생계,2
170,급여,2
171,가구,2
172,모든,2
173,확충,2
174,나라,2
175,완화,2
176,재정,2
177,주거,2
178,대책,2
179,공급,2
180,역점,2
181,방안,2
182,가속,2
183,변화,2
184,계시,2
185,준비,2
186,자동차,2
187,조선,2
188,주력,2
189,경쟁력,2
190,자리,2
191,펀드,2
192,최대,2
193,규제,2
194,성장동력,2
195,본격,2
196,인재,2
197,육성,2
198,주민,2
199,생활,2
200,참여,2
201,대응,2
202,소통,2
203,용기,2
204,사실,2
205,분야,2
206,기후변화,2
207,발휘,2
208,자신,2
209,이행,2
210,소프트파워,2
211,창의력,2
