단어,빈도수
영화,1663
원더우먼,757
액션,686
스토리,585
재미,483
히어로,381
진짜,376
기대,337
시간,316
그냥,279
갤가돗,262
생각,259
보고,247
정말,230
감독,227
연출,192
지루,185
감동,183
빌런,183
장면,175
개연성,175
마블,174
사람,170
느낌,169
최악,169
유치,161
소원,160
연기,158
정도,156
배우,140
실망,140
평점,139
별로,132
마지막,130
다가,127
하나,124
코로나,122
노잼,116
내용,115
처음,112
수준,111
영상,104
초반,102
전작,99
부분,98
역시,97
최고,97
중간,95
전개,93
사랑,92
주인공,88
년대,86
극장,86
작품,82
이나,81
슈퍼맨,80
조금,78
처럼,77
자체,75
부터,75
때문,75
매력,74
악당,74
보기,74
타임,73
전편,73
지금,72
세상,72
이상,72
디씨,70
영화관,69
쓰레기,67
교훈,67
여자,67
음악,67
여주,67
솔직,67
다시,66
오랜만,66
부족,63
이야기,63
그나,63
개봉,63
무슨,62
추천,62
이번,61
이유,60
려고,60
쿠키,59
진실,58
캐릭터,57
다이애나,57
드라마,57
필요,56
시작,55
지루함,55
모든,54
후반,53
크리스,53
뭔가,53
아무,53
메세지,52
영화인,52
화려,52
이해,51
완전,51
나름,50
인간,49
러닝,49
이하,49
내내,49
시대,49
한번,48
다른,47
결말,47
눈물,46
배경,46
억지,46
가지,45
신파,45
인적,44
루하,44
예고편,44
만하,44
더니,44
올해,44
로맨스,43
지고,43
아주,43
관객,42
아하,42
충분,42
편이,42
영웅,41
하늘,41
우리,41
감성,41
각하,40
감상,40
제발,40
치타,40
악역,40
여성,40
아름,40
년도,40
스티브,39
린다,39
가장,39
포기,39
만족,39
차라리,39
계속,39
요즘,39
갑자기,38
망작,38
이제,38
모두,38
몰입,38
메시지,38
상미,38
다운,37
위해,37
어도,37
절대,37
보시,37
남자,37
아들,37
전혀,36
건가,36
중반,36
대사,36
해도,36
대한,36
지도,36
다만,36
간만,36
능력,35
포인트,35
거지,35
욕심,35
이영화,35
제일,35
어가,35
볼거리,35
만큼,35
한스,35
짐머,35
크리스마스,35
미모,34
문제,34
무엇,34
확실,34
구나,34
설정,33
진심,33
일단,33
아가,33
역대,33
마무리,33
이정,32
기도,32
치하,32
갈수록,32
시국,32
주제,32
어이,31
모습,31
무비,31
물이,31
관람,31
수가,31
아쿠아,31
배트맨,31
캣츠,31
우먼,30
미국,30
동안,30
안보,30
기억,30
맥스,30
엉망,30
가족,30
까운,29
집중,29
다음,29
시리즈,29
웃음,29
영화로,29
보이,29
던데,28
연기력,28
그것,28
카터,28
소재,28
선택,28
제목,28
제대로,28
약간,28
바바라,28
킬링타임,28
여전,28
이지,28
알바,28
원더,27
체적,27
스케일,27
는걸,27
후회,27
황금,27
어디,27
도대체,27
의미,26
갑옷,26
이후,26
해주,26
기분,26
얼굴,26
서사,26
낭비,26
마음,25
욕망,25
거나,25
액션영화,25
시기,25
뜬금,24
해지,24
아이,24
화보,24
굳이,24
대하,24
인생,24
표현,24
만해,24
었다,24
전달,24
로드,24
상영,24
레트로,23
편의,23
래서,23
웅장,23
수도,23
각본,23
거리,23
줄거리,23
어색,23
매우,23
안타,22
감정,22
가슴,22
자기,22
옛날,22
자신,22
그게,22
마저,22
만화,22
어진,22
라서,22
연말,22
페드로,22
아쉬움,22
다소,22
시원,22
질질,21
분위기,21
인류,21
참고,21
런닝,21
대로,21
상황,21
오프닝,21
파스칼,21
흥미,20
퇴보,20
사실,20
전하,20
공감,20
페미,20
전부,20
크게,20
감사,20
저스티스리그,19
이기,19
주연,19
비교,19
졸작,19
거의,19
단순,19
희망,19
진부,19
평가,19
난방,19
추억,19
리뷰,19
행복,19
바로,18
외모,18
루즈,18
허경영,18
허무,18
중구,18
초딩,18
댓글,18
대체,18
우뢰매,18
시절,18
완성,18
이면,18
한편,18
간다,17
여서,17
긴장감,17
안나,17
아동,17
스타일,17
속편,17
아빠,17
진행,17
엔딩,17
한마디,17
점수,17
라면,17
조커,17
원래,17
전체,17
두시,17
헐리우드,17
기하,17
마스크,17
억지로,17
오락,16
도면,16
장르,16
레버,16
고자,16
남아,16
대박,16
명작,16
오지,16
점도,16
시나리오,16
언제,16
언니,16
임팩트,16
항상,16
원작,16
제작비,16
나중,16
노력,16
가요,16
화중,16
자동차극장,16
편도,16
살짝,16
알라딘,16
아직,15
헤어,15
얘기,15
런가,15
유의,15
파워,15
비중,15
이상하,15
리지,15
지나,15
음으로,15
형편,15
결론,15
라가,15
빈약,15
전형,15
대작,15
의문,15
완벽,15
니지,15
멜로,15
족하,15
반적,15
또한,15
스파이더맨,15
마이티,15
존재,15
설득,14
성하,14
드립,14
트럼프,14
다린,14
얼마나,14
슈퍼,14
스톤,14
오늘,14
아야,14
신파극,14
다리,14
인정,14
만점,14
나머지,14
덕분,14
머리,14
잘만,14
전투씬,14
소리,14
서도,14
뮤지컬,14
그닥,14
순간,14
강하,14
낫다,13
제작,13
상한,13
물의,13
소름,13
유니버스,13
설명,13
출연,13
분량,13
스나이더,13
과정,13
요소,13
는가,13
등장,13
오그,13
신도,13
하자,13
막판,13
지니,13
비행기,13
어간,13
블록버스터,13
혼자,13
조잡,13
싸움,13
여러,13
정의,13
인물,13
달리,13
이따,13
대안,13
스스로,13
분만,13
위로,13
예전,13
끝내,12
일부러,12
대감,12
점점,12
나은,12
동화,12
성장,12
하니,12
어린이,12
강추,12
퀄리티,12
중요,12
채찍,12
탐욕,12
섹시,12
로서,12
주제가,12
가면,12
여기,12
짜증,12
전투,12
공짜,12
밧줄,12
구성,12
편집,12
마치,12
재밋,12
역할,12
런들,12
여배우,12
말로,11
아보,11
디시,11
평화,11
고민,11
네이버,11
은지,11
후속작,11
저스티스,11
대충,11
이루,11
사건,11
코믹스,11
분명,11
누가,11
아이언맨,11
성인,11
효과,11
흥행,11
화가,11
개판,11
램프,11
미도,11
바람,11
반도,11
쇼핑몰,11
거짓,11
누구,11
원조,11
자리,11
남친,11
황당,11
심형래,11
판타지,11
기존,11
팔이,11
라지,11
우기,11
누나,11
캐리,11
진정,11
가치,11
사하,11
불가,11
오히려,11
몸매,11
무료,10
꿀잼,10
혹평,10
슈퍼히어로,10
여준,10
아해,10
오브,10
무조건,10
간반,10
최고다,10
여러분,10
평범,10
인상,10
일어,10
그거,10
달라,10
려면,10
거기,10
자꾸,10
가능,10
다크나이트,10
비행,10
부하,10
나이,10
마다,10
남성,10
의식,10
구로,10
정치,10
무재,10
철학,10
한국,10
하라,10
밸런스,10
의상,10
얼마,10
결과,9
고하,9
리기,9
의외,9
취소,9
흐름,9
타고,9
심지어,9
아마,9
클레멘타인,9
나기,9
손발,9
패티,9
총알,9
대가,9
박진,9
잡고,9
의심,9
사이,9
세계관,9
가족영화,9
존잼,9
단점,9
애매,9
세계,9
리그,9
상당,9
그대로,9
역량,9
다행,9
지지,9
티비,9
개재,9
휴먼,9
브루스,9
당하,9
현실,9
여운,9
에나,9
지구,9
충격,9
상적,9
팝콘,9
불면증,9
리하,9
맨오브스틸,9
어린시절,9
어른,9
잘못,9
사회,9
무하,9
서인,9
걱정,9
엄마,9
봉하,9
게다가,9
가득,9
고요,9
친구,9
작가,8
유아,8
기준,8
겨우,8
사태,8
반성,8
여신,8
불편,8
왜케,8
번개,8
아역,8
강력,8
당신,8
그녀,8
수퍼맨,8
라인,8
전개도,8
노답,8
드림,8
부자연,8
라다,8
한계,8
사운드,8
대상,8
었으,8
화면,8
최근,8
거르,8
주기,8
