,지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유,위도,경도
0,서울특별시,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),SK에너지,02-3462-5100,Y,1587,1423,1229,-,37.4858004,127.0396751
1,서울특별시,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),SK에너지,02-445-6870,Y,-,1425,1225,-,37.4672103,127.1187128
2,서울특별시,현대오일뱅크 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),현대오일뱅크,02-529-5101,Y,1597,1433,1239,-,37.4853766,127.0433067
3,서울특별시,GS칼텍스(주)직영 산성주유소,서울 강남구 헌릉로 730,GS칼텍스,02-2226-4963,Y,-,1445,1245,-,37.4664775,127.1190391
4,서울특별시,현대오일뱅크(주) 유진주유소,서울 강남구 논현로 152 (도곡동),현대오일뱅크,02-3462-5215,N,1612,1448,1254,1070,37.4873906,127.0399951
5,서울특별시,방죽주유소,서울 강남구 밤고개로 215 (율현동),GS칼텍스,02-459-3434,Y,-,1449,1249,-,37.4749397,127.1068516
6,서울특별시,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),SK에너지,02-445-5841,Y,-,1462,1253,-,37.4835321,127.1039802
7,서울특별시,SK서광주유소,서울 강남구 역삼로 142,SK에너지,02-562-4855,Y,1625,1465,1265,-,37.4943462,127.0350659
8,서울특별시,에쓰-오일㈜직영 개나리주유소,서울 강남구 언주로 423 (역삼동),S-OIL,02-564-0187,N,1625,1475,1275,-,37.5007619,127.0430652
9,서울특별시,SK에너지(주) 매봉주유소,서울 강남구 언주로 307,SK에너지,02-556-5510,Y,1625,1475,1275,-,37.4948481,127.0458254
10,서울특별시,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),S-OIL,02-2058-3024,N,1615,1475,1275,-,37.4877835,127.0466763
11,서울특별시,SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,SK에너지,02-3462-0018,N,1605,1475,1275,-,37.4922037,127.0419554
12,서울특별시,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,GS칼텍스,02-3452-1882,N,1635,1485,1295,-,37.5000267,127.0671775
13,서울특별시,지에스칼텍스㈜ 주성주유소,서울 강남구 영동대로 716,GS칼텍스,02-518-3460,N,1635,1485,1295,-,37.5219195,127.056737
14,서울특별시,지에스칼텍스㈜ GS타워주유소,서울 강남구 논현로 516 (역삼동),GS칼텍스,02-539-5145,N,1698,1485,1315,-,37.5026952,127.036474
15,서울특별시,역삼주유소,서울 강남구 역삼로 205 (역삼동),GS칼텍스,02-557-5189,N,1675,1495,1295,-,37.4963518,127.039575
16,서울특별시,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,SK에너지,02-544-4075,Y,1695,1497,1295,-,37.5106775,127.0327236
17,서울특별시,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),SK에너지,02-545-6161,Y,1695,1498,1298,-,37.5252957,127.033768
